video_name,frame_no,LED_no,x,y,threshold
Cap_Phase1_60_L.mp4,102,1,676,57,245
Cap_Phase1_60_L.mp4,102,2,697,54,245
Cap_Phase1_60_L.mp4,102,3,714,55,245
Cap_Phase1_60_L.mp4,102,4,734,52,245
Cap_Phase1_60_L.mp4,102,5,754,52,245
Cap_Phase1_60_L.mp4,102,6,775,52,245
Cap_Phase1_60_L.mp4,102,7,793,52,245
Cap_Phase1_60_R.mp4,183,1,677,57,245
Cap_Phase1_60_R.mp4,183,2,697,54,245
Cap_Phase1_60_R.mp4,183,3,716,52,245
Cap_Phase1_60_R.mp4,183,4,734,51,245
Cap_Phase1_60_R.mp4,183,5,755,54,245
Cap_Phase1_60_R.mp4,183,6,775,52,245
Cap_Phase1_60_R.mp4,183,7,792,53,245
Cap_Phase1_60_Extra.mp4,109,1,678,56,245
Cap_Phase1_60_Extra.mp4,109,2,699,56,245
Cap_Phase1_60_Extra.mp4,109,3,715,54,245
Cap_Phase1_60_Extra.mp4,109,4,736,52,245
Cap_Phase1_60_Extra.mp4,109,5,755,54,245
Cap_Phase1_60_Extra.mp4,109,6,776,54,245
Cap_Phase1_60_Extra.mp4,109,7,793,53,245
Cap_Phase1_100_L.mp4,83,1,678,55,245
Cap_Phase1_100_L.mp4,83,2,697,54,245
Cap_Phase1_100_L.mp4,83,3,715,54,245
Cap_Phase1_100_L.mp4,83,4,733,52,245
Cap_Phase1_100_L.mp4,83,5,756,53,245
Cap_Phase1_100_L.mp4,83,6,775,55,245
Cap_Phase1_100_L.mp4,83,7,793,52,245
Cap_Phase1_100_R.mp4,122,1,676,56,245
Cap_Phase1_100_R.mp4,122,2,695,55,245
Cap_Phase1_100_R.mp4,122,3,715,53,245
Cap_Phase1_100_R.mp4,122,4,734,52,245
Cap_Phase1_100_R.mp4,122,5,755,52,245
Cap_Phase1_100_R.mp4,122,6,775,54,245
Cap_Phase1_100_R.mp4,122,7,793,54,245
Cap_Phase1_140_L.mp4,110,1,677,58,245
Cap_Phase1_140_L.mp4,110,2,696,55,245
Cap_Phase1_140_L.mp4,110,3,713,55,245
Cap_Phase1_140_L.mp4,110,4,732,54,245
Cap_Phase1_140_L.mp4,110,5,754,54,245
Cap_Phase1_140_L.mp4,110,6,775,54,245
Cap_Phase1_140_L.mp4,110,7,793,54,245
Cap_Phase1_140_R.mp4,115,1,677,56,245
Cap_Phase1_140_R.mp4,115,2,695,56,245
Cap_Phase1_140_R.mp4,115,3,715,55,245
Cap_Phase1_140_R.mp4,115,4,733,53,245
Cap_Phase1_140_R.mp4,115,5,756,53,245
Cap_Phase1_140_R.mp4,115,6,774,54,245
Cap_Phase1_140_R.mp4,115,7,793,51,245
Cap_Phase2_60_L.mp4,207,1,668,18,245
Cap_Phase2_60_L.mp4,207,2,690,18,245
Cap_Phase2_60_L.mp4,207,3,706,24,245
Cap_Phase2_60_L.mp4,207,4,727,24,245
Cap_Phase2_60_L.mp4,207,5,750,28,245
Cap_Phase2_60_L.mp4,207,6,772,32,245
Cap_Phase2_60_L.mp4,207,7,794,34,245
Cap_Phase2_60_R.mp4,132,1,677,25,245
Cap_Phase2_60_R.mp4,132,2,696,24,245
Cap_Phase2_60_R.mp4,132,3,716,23,245
Cap_Phase2_60_R.mp4,132,4,735,22,245
Cap_Phase2_60_R.mp4,132,5,757,23,245
Cap_Phase2_60_R.mp4,132,6,777,23,245
Cap_Phase2_60_R.mp4,132,7,794,21,245
Cap_Phase2_100_L.mp4,178,1,666,15,245
Cap_Phase2_100_L.mp4,178,2,688,19,245
Cap_Phase2_100_L.mp4,178,3,705,23,245
Cap_Phase2_100_L.mp4,178,4,723,25,245
Cap_Phase2_100_L.mp4,178,5,746,29,245
Cap_Phase2_100_L.mp4,178,6,771,31,245
Cap_Phase2_100_L.mp4,178,7,793,33,245
Cap_Phase2_100_R.mp4,123,1,677,27,245
Cap_Phase2_100_R.mp4,123,2,697,24,245
Cap_Phase2_100_R.mp4,123,3,714,25,245
Cap_Phase2_100_R.mp4,123,4,734,22,245
Cap_Phase2_100_R.mp4,123,5,756,25,245
Cap_Phase2_100_R.mp4,123,6,775,25,245
Cap_Phase2_100_R.mp4,123,7,792,23,245
Cap_Phase2_140_L.mp4,422,1,664,17,245
Cap_Phase2_140_L.mp4,422,2,686,20,245
Cap_Phase2_140_L.mp4,422,3,706,24,245
Cap_Phase2_140_L.mp4,422,4,726,25,245
